"productcode","productprice","stockstatus","addtocartbtn_replacement_text"
"FH6-55",6093.45,0,"Please send RFQ to sales@145.aero for lead time"
"GA001-0FRK",133.99,80,""
"GA001SP",35.64,273,""
"GADUSS2V2202",8.79,6,""
"GAMFL",133.99,31,""
"GN05-21",47.06,68,""
"GN06-21",158.52,224,""
"GN07-21",38.44,0,"Please send RFQ to sales@145.aero for lead time"
"GN10-21",38.45,196,""
"GN148-21",36.61,0,"Please send RFQ to sales@145.aero for lead time"
"GN148-24",66.84,269,""
"GN15-21",30.09,147,""
"GN17-21",43.27,0,"Please send RFQ to sales@145.aero for lead time"
"GN22-21",38.34,316,""
"GN22-24",1363.09,0,"Please send RFQ to sales@145.aero for lead time"
"GN4343-21",133.22,230,""
"GN46-21",68.7,29,""
"GNGA47-24",89.64,222,""
"GNPASTE",14.4,1257,""
"GNPASTEPT",62.51,0,"Please send RFQ to sales@145.aero for lead time"
"GP460-40Z",46.9,579,""
"GP460PT",59.07,603,""
"GPL206-1-1LB",413.91,35,""
"GPL206-20Z",75.24,9,""
"GPL206-80Z",255.46,23,""
"H99NY2",602.94,0,"Please send RFQ to sales@145.aero for lead time"
"HIT650QT",171.38,20,""
"HT3000100",182.36,0,"Please send RFQ to sales@145.aero for lead time"
"HT3326550",84.66,0,"Please send RFQ to sales@145.aero for lead time"
"JM3764",275.89,0,"Please send RFQ to sales@145.aero for lead time"
"JM3765-5ML",32.08,0,"Please send RFQ to sales@145.aero for lead time"
"KR0IL1GAL",127.61,0,"Please send RFQ to sales@145.aero for lead time"
"L0034-094",21.13,0,"Please send RFQ to sales@145.aero for lead time"
"L09003",333.61,0,"Please send RFQ to sales@145.aero for lead time"
"L09005",333.61,0,"Please send RFQ to sales@145.aero for lead time"
"L09008",333.61,0,"Please send RFQ to sales@145.aero for lead time"
"L09775",384.84,0,"Please send RFQ to sales@145.aero for lead time"
"L09995",333.61,0,"Please send RFQ to sales@145.aero for lead time"
"L0A101K",1.99,0,"Please send RFQ to sales@145.aero for lead time"
"L101",16.66,0,"Please send RFQ to sales@145.aero for lead time"
"L99307",384.84,0,"Please send RFQ to sales@145.aero for lead time"
"LC300QT",201.64,0,"Please send RFQ to sales@145.aero for lead time"
"LIQUIM0LYNVPT",83.99,126,""
"LUB0M0LYP0WDER",135.3,24,""
"LUBEL0K1000QT",245.7,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K2006QT",109.13,18,""
"LUBEL0K2109D",81.26,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K2396QT",245.39,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K4253QT",1763.59,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K4396",189.72,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K4396QT",534.08,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K5306QT",76.3,8,""
"LUBT0RKPT",48.61,389,""
"M0BIL1SYNATF1QT",19.46,483,""
"M0LITH2",22.05,281,""
"M0LYK0TEDX",187.38,0,"Please send RFQ to sales@145.aero for lead time"
"M0S2-1190",117.49,7,""
"M0USEMILK320Z",25.69,189,""
"M0USEMILK80Z",8.3,2250,""
"M77-80Z",179.19,0,"Please send RFQ to sales@145.aero for lead time"
"MASTIN0XD40",183.36,133,""
"MCS352BQT",315.55,59,""
"ML5EH330T",10071.76,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHD",1678.63,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHP",190.75,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHS",47.69,0,"Please send RFQ to sales@145.aero for lead time"
"MM13RQT",11.36,231,""
"MM85R",11.2,0,"Please send RFQ to sales@145.aero for lead time"
"MS143XDGL",1033.16,0,"Please send RFQ to sales@145.aero for lead time"
"N010J",3.64,0,"Please send RFQ to sales@145.aero for lead time"
"N030J",1.06,0,"Please send RFQ to sales@145.aero for lead time"
"N0VAGARDG635",36.83,119,""
"N0XRUSTVCI10PL",351.54,8,""
"NL11B1L",58.29,31,""
"NL3525-24",42.31,24,""
"NL64-20L",719.09,0,"Please send RFQ to sales@145.aero for lead time"
"NL64-5L",368.98,0,"Please send RFQ to sales@145.aero for lead time"
"NL7870-24",182.59,0,"Please send RFQ to sales@145.aero for lead time"
"NP04-24",53.36,115,""
"NP06-24",57.25,23,""
"NS160-160Z",38.95,193,""
"NSBT8",24.31,79,""
"NYC065-24",60.64,101,""
"NYC065VASELINE-CN",58.36,0,"Please send RFQ to sales@145.aero for lead time"
"NYC0DIEL20",795.45,0,"Please send RFQ to sales@145.aero for lead time"
"NYC0GREASEGN25013CN",1810.72,33,""
"NYC0LUBE3525-20L",410.16,27,""
"P1022",102.8,0,"Please send RFQ to sales@145.aero for lead time"
"P37",112.46,0,"Please send RFQ to sales@145.aero for lead time"
"PC16-2008T",327.79,0,"Please send RFQ to sales@145.aero for lead time"
"PC16-9558",218.14,0,"Please send RFQ to sales@145.aero for lead time"
"PEC642DQT",93.25,16,""
"PEC642GL",263.75,3,""
"PEC642QT",167.43,0,"Please send RFQ to sales@145.aero for lead time"
"PEN382GL",887.52,0,"Please send RFQ to sales@145.aero for lead time"
"PEN382QT",310.65,59,""
"PERMASLIKG",42.16,193,""
"PERMASLIKGQT",103.15,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620CDGL",218.5,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620CDQT",76.47,164,""
"PEV620CGL",395.53,8,""
"PEV620CQT",118.67,10,""
"PEV620DQT",77.51,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620GL",417,1,""
"PEV620QT",144.46,44,""
"PEV810DQT",90,1,""
"PEV9001GL",594.03,5,""
"PEV9001QT",207.91,231,""
"PEV9002GL",517.26,10,""
"PEV9002QT",177.14,54,""
"PEV967CQT",374.76,0,"Please send RFQ to sales@145.aero for lead time"
"PL32-40ZMED",43.51,1217,""
"PLB220AE",36.86,1294,""
"PLB220GL",272.95,0,"Please send RFQ to sales@145.aero for lead time"
"PLB220QT",95.54,78,""
"PLBAAE",33.74,27,""
"PLBAGL",229.03,0,"Please send RFQ to sales@145.aero for lead time"
"PLBAQT",80.16,14,""
"PLBHTQT",141.16,8,""
"PLL5396DQT",100.61,0,"Please send RFQ to sales@145.aero for lead time"
"PPS1460WQT",64.92,12,""
"PPSGQT",103.15,3,""
"PPSRMACGL",333.82,3,""
"PR1005LPT",183.28,173,""
"PR1197PT",984.27,0,"Please send RFQ to sales@145.aero for lead time"
"PR12001090ZCL",59.05,400,""
"PR1200-10-90ZRD",59.05,0,"Please send RFQ to sales@145.aero for lead time"
"PR1422A2-60Z",71.46,584,""
"PR1422B1-2",76.73,4271,""
"PR1422B2-60Z",76.73,1785,""
"PR1422B2PT",160.56,465,""
"PR1425B1-2",141.4,2441,""
"PR1425B1-2-5",114.43,217,""
"PR1425B1-2PT",218.28,192,""
"PR1425B2-60Z",134.05,408,""
"PR1428A1-2",142.19,0,"Please send RFQ to sales@145.aero for lead time"
"PR1428A2",134.8,427,""
"PR1428B1-2",131.95,1632,""
"PR1428B2",125.09,813,""
"PR1436GPT",313.78,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440A2PT",152.88,110,""
"PR1440B1-2PT",153.61,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440B2",61.45,1,""
"PR1750A1-2",76.94,102,""
"PR1750A2",72.95,207,""
"PR1750B1-2-60Z",80.19,0,"Please send RFQ to sales@145.aero for lead time"
"PR1750B1-2PT",190.38,29,""
"PR1750B2-60Z",80.19,321,""
"PR1764B2",1288.04,0,"Please send RFQ to sales@145.aero for lead time"
"PR1764B2-2-50Z",756.49,0,"Please send RFQ to sales@145.aero for lead time"
"PR1772B2-60Z",138.72,810,""
"PR1773B1-2",127.49,578,""
"PR1775B2-60Z",108.49,638,""
"PR1776M1-2-60Z",109.59,544,""
"PR1776M1-2BMPT",252.03,0,"Please send RFQ to sales@145.aero for lead time"
"PR1776M2-60Z",103.89,879,""
"PR1776MB2-60Z",103.89,1244,""
"PR1776MB2BPT",238.92,0,"Please send RFQ to sales@145.aero for lead time"
"PR1826A1-2",259.75,63,""
"PR1826B1-2",202.41,1066,""
"PR1826B1-4",202.41,269,""
"PR1828B1-2",235.09,0,"Please send RFQ to sales@145.aero for lead time"
"PR1828B1-4",247.97,0,"Please send RFQ to sales@145.aero for lead time"
"PR1829B1-2",172.6,637,""
"PR1829B1-4",183.89,139,""
"PR1829B2",174.34,0,"Please send RFQ to sales@145.aero for lead time"
"PR2001B1-2",211.65,914,""
"PR2001B2-4-50Z",200.65,538,""
"PS700",365.17,12,""
"PS700-60Z",180.88,530,""
"PS860B1-6",146.5,0,"Please send RFQ to sales@145.aero for lead time"
"PS870A1-2",96.68,443,""
"PS870B1-2",93.31,0,"Please send RFQ to sales@145.aero for lead time"
"PS870B1-2-20Z",74.66,309,""
"PS870B1-2-60Z",88.46,0,"Please send RFQ to sales@145.aero for lead time"
"PS870B1-2PTM",197.06,44,""
"PS870B2-60Z",88.46,3238,""
"PS870B2-60ZTP2",88.46,0,"Please send RFQ to sales@145.aero for lead time"
"PS870B2PTM",203.47,248,""
"PS870C12",132.27,1131,""
"PS870C12PT",285.55,123,""
"PS870C24",120.69,334,""
"PS890A2-60Z",63.67,635,""
"PS890B1-2",66.61,2249,""
"PS890B1-2PT",164.84,431,""
"PS890B2-60Z",66.61,2308,""
"PS890B2PT",166.5,289,""
"PYR0LUBE",167.88,0,"Please send RFQ to sales@145.aero for lead time"
"RHE0LUB733MZ30C",38.86,71,""
"RHE0LUBE733MZ",265,0,"Please send RFQ to sales@145.aero for lead time"
"RTV109-10-1ALU",18.36,354,""
"RTV133-10-10Z",127.42,53,""
"RTV3140-30Z",46.05,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-10-30ZC",154.11,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-10-30ZG",154.11,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-30Z",57.76,271,""
"RTV3145-30ZGRAY",57.76,0,"Please send RFQ to sales@145.aero for lead time"
"RTV630-1LB",139.86,0,"Please send RFQ to sales@145.aero for lead time"
"RTV730FS30Z",176.8,438,""
"RTV732-10-10ZBL",10.63,339,""
"RTV732-10-10ZCL",10.63,558,""
"RTV732-10-10ZWH",10.63,116,""
"RTV73230Z",6.13,7434,""
"RTV732-30ZALU",6.46,452,""
"RTV732-30ZBLK",6.46,1447,""
"RTV732-30ZWHI",6.13,1867,""
"RTV732-50ZCLR",9.85,1861,""
"RTV732-50ZWHI",9.85,970,""
"RTV736-10-10ZRD",26.07,148,""
"RTV736-30ZRED",15.84,1502,""
"RTV9910",161.84,0,"Please send RFQ to sales@145.aero for lead time"
"S01324-160Z",9.64,0,"Please send RFQ to sales@145.aero for lead time"
"S500CF275T",7429.56,0,"Please send RFQ to sales@145.aero for lead time"
"S500CF330T",8915.46,0,"Please send RFQ to sales@145.aero for lead time"
"S500CFD",1485.91,0,"Please send RFQ to sales@145.aero for lead time"
"S500CFS",42.2,0,"Please send RFQ to sales@145.aero for lead time"
"SATAP275T",11202.97,0,"Please send RFQ to sales@145.aero for lead time"
"SATAP80Z",242.78,0,"Please send RFQ to sales@145.aero for lead time"
"SILIKR0IL100Z",22.56,84,""
"SILIKR0IL5GL",500.36,0,"Please send RFQ to sales@145.aero for lead time"
"SILVERG00P",195.86,23,""
"SPIRAX75W80",375.26,0,"Please send RFQ to sales@145.aero for lead time"
"SPIRAXS75W90",24.89,0,"Please send RFQ to sales@145.aero for lead time"
"T8EH80Z",409.94,152,""
"T8EPASTE",231.39,48,""
"TELLUS22-5GL",212.14,0,"Please send RFQ to sales@145.aero for lead time"
"TI0L0NA20",66.24,177,""
"TI0LUBE20-20QT",121.71,5,""
"TI0LUBE70",57.49,59,""
"TI0LUBE70R",86.91,0,"Please send RFQ to sales@145.aero for lead time"
"TN3516-24",37.55,275,""
"TRIB0LUBE15",591.25,8,""
"TRIB0LUBE15-5GM",95.13,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE2N",487.09,159,""
"TRIB0LUBE36RPC",145.79,240,""
"TRIB0LUBE64RPA",1089.56,10,""
"TRIB0LUBE64RPC",200.31,155,""
"ELITE20W50QT",1.93,0,"Please send RFQ to sales@145.aero for lead time"
"PR1428B2PT",281.18,282,""
"PR1428B2PTKT",281.18,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440-A1-2-60Z",61.15,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440A1-2PTKT",144.93,30,""
"PR1440A2-654",57.98,16,""
"PR1440B2PT",153.61,0,"Please send RFQ to sales@145.aero for lead time"
"PR1750A1-2PT",182.34,0,"Please send RFQ to sales@145.aero for lead time"
"PR1750A2PT",182.34,17,""
"PR1750B2PTKT",196.57,0,"Please send RFQ to sales@145.aero for lead time"
"PR1773B1-2PT",235.74,58,""
"PR1775B2-1QT",486.44,37,""
"PR1776MB2PT",238.92,143,""
"TECTYL502C-QT",56.83,245,""
"TRIB0LUBE64RPC140Z",992.02,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE64RPC2-2LB",2426.05,3,""
"TURB0NYC0IL160",42.73,118,""
"U08466GL",539.05,0,"Please send RFQ to sales@145.aero for lead time"
"V66VB11",156.95,1,""
"VACTRA2-5GL",247.89,66,""
"VACTRA4-55GL",1473.31,0,"Please send RFQ to sales@145.aero for lead time"
"VEL0CITE10-5GL",164.79,0,"Please send RFQ to sales@145.aero for lead time"
"WAYCLEAR2275T",5789.9,0,"Please send RFQ to sales@145.aero for lead time"
"WAYCLEAR2330T",6947.88,0,"Please send RFQ to sales@145.aero for lead time"
"WAYCLEAR2D",1157.97,0,"Please send RFQ to sales@145.aero for lead time"
"WD40-1GL",40.29,522,""
