"productcode","productprice","stockstatus","addtocartbtn_replacement_text"
"804137330",12.31,165,""
"002055",30.41,233,""
"002056",30.41,302,""
"002057",25.34,394,""
"002060",30.41,120,""
"002061",30.75,212,""
"002062",30.41,17,""
"002078",55.61,36,""
"002081",35.38,331,""
"002082",24.46,12,""
"002138",886.25,0,"Please send RFQ to sales@145.aero for lead time"
"002318",660.69,0,"Please send RFQ to sales@145.aero for lead time"
"007070",355.49,0,"Please send RFQ to sales@145.aero for lead time"
"007071",1537.47,0,"Please send RFQ to sales@145.aero for lead time"
"008431",32.74,146,""
"009425",209.1,0,"Please send RFQ to sales@145.aero for lead time"
"009426",171.77,0,"Please send RFQ to sales@145.aero for lead time"
"009660",103.71,0,"Please send RFQ to sales@145.aero for lead time"
"C-111PT",231.1,79,""
"PR3500-55GL",0,0,"Please send RFQ to sales@145.aero for lead time"
"PR3500-5GL",498.59,0,"Please send RFQ to sales@145.aero for lead time"
"PR3500GL",122.78,0,"Please send RFQ to sales@145.aero for lead time"
"0LUBE884-2",13.83,1807,""
"10210-1LB",150.01,0,"Please send RFQ to sales@145.aero for lead time"
"10P4-2QTKT",104.05,0,"Please send RFQ to sales@145.aero for lead time"
"1151T",26.71,0,"Please send RFQ to sales@145.aero for lead time"
"11MS140Z",31.41,1908,""
"11MS35LB",937.14,61,""
"14250-10Z",8.96,0,"Please send RFQ to sales@145.aero for lead time"
"184200GRAM",276.93,103,""
"1B151L",130.95,104,""
"1MS1-75LB",131.89,189,""
"1SAE15W40-1GL",36.34,0,"Please send RFQ to sales@145.aero for lead time"
"1SAE15W40-1QT",6.49,0,"Please send RFQ to sales@145.aero for lead time"
"1SAE15W40-5GL",154.69,0,"Please send RFQ to sales@145.aero for lead time"
"20W50ARPK",175.45,0,"Please send RFQ to sales@145.aero for lead time"
"22CF35LB",1007.57,258,""
"22CF6-5LB",186.05,453,""
"22CFCTG",30.64,651,""
"22MS1-75LB",106.19,0,"Please send RFQ to sales@145.aero for lead time"
"22MSCTG",71.78,0,"Please send RFQ to sales@145.aero for lead time"
"240AB20Z",350.68,34,""
"240AC20Z",350.65,396,""
"240AC80Z",1179.36,16,""
"240AZ20Z",340.44,62,""
"240AZ80Z",1264,20,""
"25006AEJR",491.2,7,""
"25006AESY",136.51,31,""
"25012AESY",1003.35,16,""
"25020AEJR",240.88,1,""
"25026CPPL",747.83,8,""
"25034AESY",1081.6,17,""
"25052AECP",166.9,152,""
"250AC20Z",350.68,22,""
"250AD80Z",1179.5,0,"Please send RFQ to sales@145.aero for lead time"
"25113ATJR",80.81,240,""
"25113ATPL",1455.66,8,""
"26020-1GL",138.07,15,""
"27002AEDR",14955,0,"Please send RFQ to sales@145.aero for lead time"
"27014AEDR",1152.67,247,""
"27014AEPL",200.81,208,""
"27019AEPL",427.06,46,""
"27029AECD",21.15,240,""
"27030AEPL",752.91,117,""
"27056APPL",724.71,4,""
"27059APCS1-2PT",76.51,126,""
"27059APPL",767.81,8,""
"27-35LB",723.7,39,""
"27-6-5LB",160.35,0,"Please send RFQ to sales@145.aero for lead time"
"27CTG",25.81,529,""
"283AD1-1LB",2026.05,6,""
"283AD20Z",340.41,0,"Please send RFQ to sales@145.aero for lead time"
"283AD80Z",1144.93,7,""
"308CA1GL",73.92,231,""
"308CA55GL",2851.42,0,"Please send RFQ to sales@145.aero for lead time"
"308CA5GL",341.84,53,""
"329-1QT",205.1,0,"Please send RFQ to sales@145.aero for lead time"
"363-1GL",73.55,520,""
"363-55GL",2544.07,0,"Please send RFQ to sales@145.aero for lead time"
"363-5GL",288.8,156,""
"363QT",40.9,482,""
"375NC5",452.76,0,"Please send RFQ to sales@145.aero for lead time"
"38GEAR600-68",78.8,4,""
"43-35LB",1564.11,0,"Please send RFQ to sales@145.aero for lead time"
"43-6-5LB",330.16,95,""
"44-1-75LB",95.86,379,""
"481-55GL",2087.71,33,""
"481-5GL",230.4,95,""
"482-5GL",551.65,78,""
"483-5GL",446.19,27,""
"490057-20Z",30.1,0,"Please send RFQ to sales@145.aero for lead time"
"49-35LB",677,51,""
"4UK07",13.38,0,"Please send RFQ to sales@145.aero for lead time"
"500-5GL",540.29,40,""
"515K011QTKT",103.13,131,""
"515X349GLKIT",596.89,84,""
"521X11387",9,57,""
"528X310QTKT",188.71,0,"Please send RFQ to sales@145.aero for lead time"
"555-55GL",5776.1,9,""
"555-5GL",574.36,398,""
"581-55GL",3381.2,3,""
"586M5GL",330.99,77,""
"630AA1-750Z",14.76,14,""
"634-1GL",139.45,0,"Please send RFQ to sales@145.aero for lead time"
"64-35LB",1025.51,0,"Please send RFQ to sales@145.aero for lead time"
"64-6-5LB",220.38,0,"Please send RFQ to sales@145.aero for lead time"
"70106-1GL",222.01,10,""
"70307L",13.04,0,"Please send RFQ to sales@145.aero for lead time"
"710XX006",23.54,62,""
"710XX052",4.71,766,""
"710XX301",30.85,61,""
"808-1QT",26.84,565,""
"808-55GL",4958.36,10,""
"808-5GL",499.72,10,""
"81MS1-75LB",289.1,412,""
"825-1-75LB",115.11,176,""
"855-5GL",2222.71,0,"Please send RFQ to sales@145.aero for lead time"
"885-1GL",170.63,258,""
"885-55GL",8748.52,0,"Please send RFQ to sales@145.aero for lead time"
"885-5GL",816.11,44,""
"889-55GL",4375.89,0,"Please send RFQ to sales@145.aero for lead time"
"889-5GL",394.26,26,""
"899-1QT",29.67,2088,""
"899-55GL",6017.85,4,""
"8B6AQT",307.51,41,""
"90-006-2RF1LB",162.01,146,""
"950-55GL",2888.07,30,""
"950-5GL",363.44,121,""
"9AQT",186.51,0,"Please send RFQ to sales@145.aero for lead time"
"AER0KR0IL100Z",22.21,1170,""
"AER0KR0IL130Z",26.56,2186,""
"ALBCKIT",37.26,70,""
"ALHFTG",433.29,29,""
"ALSEAL75A1QTKIT",378.04,2,""
"AS9363016",317.93,7,""
"BATC0X8401-140Z",95.16,224,""
"BRAYC0815Z20Z",627.67,2,""
"BRAYC0TE236PT",71.74,14,""
"C105-10-0Z",21.13,0,"Please send RFQ to sales@145.aero for lead time"
"C201-1-75LB",3455.92,90,""
"CC322275T",8571.39,0,"Please send RFQ to sales@145.aero for lead time"
"CC322330T",10285.66,0,"Please send RFQ to sales@145.aero for lead time"
"CC322S",42.16,0,"Please send RFQ to sales@145.aero for lead time"
"CM0110845GA",99.64,151,""
"CM0110933GA",168.58,13,""
"CM0120677QT",82.16,54,""
"CM0570566GA",348.92,42,""
"CM0578520GA",399.26,3,""
"CM0840081GA",438.21,32,""
"CM0981520QT",154.06,58,""
"CS1900PT",182.73,92,""
"CS1900QT",337.35,5,""
"CS2415B2PT",198.2,29,""
"CS3100T2CL2PT",247.2,6,""
"CS3201A12BLKPT",261.73,0,"Please send RFQ to sales@145.aero for lead time"
"CS3201B12PT",276.28,13,""
"CS3201B12QTBLK",465.3,1,""
"CS3204A1-2KITBK",29.39,0,"Please send RFQ to sales@145.aero for lead time"
"CS3204A1-2PT",61.25,43,""
"CS3204A1-2QT",83.94,46,""
"CS3204A2PT",61.25,33,""
"CS3204A2QT",83.94,0,"Please send RFQ to sales@145.aero for lead time"
"CS3204B1-2-2-5B",20.9,25,""
"CS3204B1-2KIT",24.61,1559,""
"CS3204B1-2KITBK",24.61,0,"Please send RFQ to sales@145.aero for lead time"
"CS3204B1-2PT",56.17,429,""
"CS3204B1-2QT",78.66,93,""
"CS3204B1-2QTBLK",78.66,104,""
"F75KXB9958",21.44,72,""
"CS3204B1-4KIT",24.61,160,""
"CS3204B2-3-5",27.06,9,""
"CS3204B2KIT",24.61,1051,""
"CS3204B2PT",56.17,969,""
"CS3204B2QT",78.66,49,""
"CS3204B2QTBLK",78.66,36,""
"CS3204B4KIT",24.61,10,""
"CS3213B12",34.95,78,""
"CS3247B2",52.25,86,""
"CS3330A12PT",126.5,11,""
"CS3330B12KIT",40.39,110,""
"CS3330B12PT",99.8,54,""
"CS3330B12QT",140.19,6,""
"CS3330B2PT",99.8,0,"Please send RFQ to sales@145.aero for lead time"
"CS3600PT",108.69,0,"Please send RFQ to sales@145.aero for lead time"
"CS5306B12KIT",174.97,0,"Please send RFQ to sales@145.aero for lead time"
"CS5306B1-4-2-5",153.69,0,"Please send RFQ to sales@145.aero for lead time"
"DAPC02200250Z",153.38,459,""
"DAPC072-60Z",218.26,6,""
"DC106QT",181.6,0,"Please send RFQ to sales@145.aero for lead time"
"DC111-14-10Z",55.53,1,""
"DC111-50Z",22.16,878,""
"DC2301LB",154.13,45,""
"DC33LIGHT40LB",2720.75,0,"Please send RFQ to sales@145.aero for lead time"
"DC33LIGHT50Z",40.27,1465,""
"DC33LIGHT8LB",657.79,32,""
"DC33MED140Z",102.5,199,""
"DC33MED50Z",40.91,559,""
"DC3400A",275.41,0,"Please send RFQ to sales@145.aero for lead time"
"DC3402C",122.7,0,"Please send RFQ to sales@145.aero for lead time"
"DC340-30Z",63.35,27,""
"DC340-50Z",53.58,280,""
"DC4045299",33.98,0,"Please send RFQ to sales@145.aero for lead time"
"DC4045666",31.1,783,""
"DC4-30Z",37.02,296,""
"DC44LIGHT5-30Z",40.06,0,"Please send RFQ to sales@145.aero for lead time"
"DC55-5-30Z",34.45,953,""
"DC557-110Z",36.06,289,""
"DC976-5-30Z",68.29,9,""
"DCM77-350Z",349.45,85,""
"DRILUBE822-30ML",1720.26,0,"Please send RFQ to sales@145.aero for lead time"
"E09028",384.84,11,""
"E09056",330.28,6,""
"E659-1LB",205.32,70,""
"EDM275T",6478.93,0,"Please send RFQ to sales@145.aero for lead time"
"EDM330T",7774.7,0,"Please send RFQ to sales@145.aero for lead time"
"EDMD",1295.77,0,"Please send RFQ to sales@145.aero for lead time"
"EDMP",147.25,0,"Please send RFQ to sales@145.aero for lead time"
"ELITE20W50QT",1.93,0,"Please send RFQ to sales@145.aero for lead time"
"ESNALUBE382PT",177.5,12,""
"EV811GL",582.39,0,"Please send RFQ to sales@145.aero for lead time"
"EVERLUBE810QT",211.44,4,""
"EVERLUBE811PT",0,0,"Please send RFQ to sales@145.aero for lead time"
"EVERLUBE811QT",203.85,0,"Please send RFQ to sales@145.aero for lead time"
"EVERLUBE9001",134.74,0,"Please send RFQ to sales@145.aero for lead time"
"EZTURN1LB",31.24,172,""
"EZTURN50Z",20.41,0,"Please send RFQ to sales@145.aero for lead time"
"F63BY6",798.49,2,""
"F63TXA0515",174.1,0,"Please send RFQ to sales@145.aero for lead time"
"F63WY30",557.33,0,"Please send RFQ to sales@145.aero for lead time"
"F75KXR12320",24.05,139,""
"F75KXS9754",24.13,0,"Please send RFQ to sales@145.aero for lead time"
"F93A2030",190.05,11,""
"FH3-55",6022.73,0,"Please send RFQ to sales@145.aero for lead time"
"FH6-20L",590.45,6,""
"FH6-55",6093.45,0,"Please send RFQ to sales@145.aero for lead time"
"GA001-0FRK",133.99,0,"Please send RFQ to sales@145.aero for lead time"
"GA001SP",35.64,447,""
"GADUSS2V2202",9.04,80,""
"GAMFL",133.99,29,""
"GN05-21",47.06,57,""
"GN06-21",158.52,177,""
"GN07-21",38.44,84,""
"GN10-21",38.45,167,""
"GN148-21",36.61,34,""
"GN148-24",66.84,266,""
"GN15-21",30.09,138,""
"GN17-21",43.27,0,"Please send RFQ to sales@145.aero for lead time"
"GN22-21",38.34,190,""
"GN22-24",1363.09,0,"Please send RFQ to sales@145.aero for lead time"
"GN4343-21",133.22,212,""
"GN46-21",68.7,24,""
"GNGA47-24",89.64,175,""
"GNPASTE",14.4,2594,""
"GNPASTEPT",62.51,297,""
"GP460-40Z",46.9,516,""
"GP460PT",59.07,823,""
"GPL206-1-1LB",413.9,7,""
"GPL206-20Z",75.24,30,""
"GPL206-80Z",255.46,145,""
"H99NY2",602.94,0,"Please send RFQ to sales@145.aero for lead time"
"HIT650QT",171.38,17,""
"HT3000100",182.36,94,""
"HT3326550",84.66,145,""
"JM3764",275.89,11,""
"JM3765-5ML",32.08,41,""
"KR0IL1GAL",127.61,38,""
"L0034-094",21.13,73,""
"L09003",333.61,32,""
"L09005",333.61,0,"Please send RFQ to sales@145.aero for lead time"
"L09008",333.61,64,""
"L09775",384.84,0,"Please send RFQ to sales@145.aero for lead time"
"L09995",333.61,28,""
"L0A101K",1.99,464,""
"L101",16.66,35,""
"L99307",384.84,0,"Please send RFQ to sales@145.aero for lead time"
"LC300QT",199.6,0,"Please send RFQ to sales@145.aero for lead time"
"LIQUIM0LYNVPT",83.99,125,""
"LUB0M0LYP0WDER",135.3,14,""
"LUBEL0K1000QT",243.24,6,""
"LUBEL0K2006QT",109.13,8,""
"LUBEL0K2109D",81.26,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K2396QT",245.39,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K4396",189.72,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K4396QT",534.08,0,"Please send RFQ to sales@145.aero for lead time"
"LUBEL0K5306QT",76.3,9,""
"LUBT0RKPT",48.61,329,""
"M0BIL1SYNATF1QT",20.01,641,""
"M0LITH2",22.05,640,""
"M0LYK0TEDX",187.38,121,""
"M0S2-1190",117.49,9,""
"M0USEMILK320Z",26.1,145,""
"M0USEMILK80Z",8.85,634,""
"M77-80Z",179.19,0,"Please send RFQ to sales@145.aero for lead time"
"MASTIN0XD40",183.36,0,"Please send RFQ to sales@145.aero for lead time"
"MCS352BQT",315.54,134,""
"ML5EH330T",10071.76,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHD",1678.63,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHP",190.75,0,"Please send RFQ to sales@145.aero for lead time"
"ML5EHS",47.69,0,"Please send RFQ to sales@145.aero for lead time"
"MM13RQT",11.36,145,""
"MM85R",11.2,0,"Please send RFQ to sales@145.aero for lead time"
"MS143XDGL",1033.16,2,""
"N010J",3.64,0,"Please send RFQ to sales@145.aero for lead time"
"N030J",1.06,0,"Please send RFQ to sales@145.aero for lead time"
"N0VAGARDG635",36.83,159,""
"N0XRUSTVCI10PL",351.54,16,""
"NL11B1L",58.29,78,""
"NL3525-24",42.31,76,""
"NL64-20L",1728.19,0,"Please send RFQ to sales@145.aero for lead time"
"NL64-5L",368.98,0,"Please send RFQ to sales@145.aero for lead time"
"NL7870-24",182.59,0,"Please send RFQ to sales@145.aero for lead time"
"NP04-24",53.36,60,""
"NP06-24",57.25,21,""
"NS160-160Z",38.95,169,""
"NSBT8",24.31,84,""
"NYC065-24",60.64,48,""
"NYC065VASELINE-CN",58.36,0,"Please send RFQ to sales@145.aero for lead time"
"NYC0DIEL20",795.45,0,"Please send RFQ to sales@145.aero for lead time"
"NYC0GREASEGN25013CN",1810.72,0,"Please send RFQ to sales@145.aero for lead time"
"NYC0LUBE3525-20L",406.16,31,""
"P1022",102.8,0,"Please send RFQ to sales@145.aero for lead time"
"P37",112.46,122,""
"PC16-2008T",327.79,0,"Please send RFQ to sales@145.aero for lead time"
"PC16-9558",218.14,0,"Please send RFQ to sales@145.aero for lead time"
"PEC642DQT",93.25,29,""
"PEC642GL",263.75,2,""
"PEC642QT",167.43,16,""
"PEN382GL",887.52,0,"Please send RFQ to sales@145.aero for lead time"
"PEN382QT",310.65,33,""
"PERMASLIKG",42.16,394,""
"PERMASLIKGQT",103.15,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620CDGL",218.5,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620CDQT",76.47,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620CGL",395.53,1,""
"PEV620CQT",118.67,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620DQT",77.51,0,"Please send RFQ to sales@145.aero for lead time"
"PEV620GL",417,1,""
"PEV620QT",145.94,3,""
"PEV810DQT",90,0,"Please send RFQ to sales@145.aero for lead time"
"PEV9001GL",594.03,0,"Please send RFQ to sales@145.aero for lead time"
"PEV9001QT",207.91,190,""
"PEV9002GL",553.13,0,"Please send RFQ to sales@145.aero for lead time"
"PEV9002QT",177.14,26,""
"PEV967CQT",706.7,0,"Please send RFQ to sales@145.aero for lead time"
"PL32-40ZMED",43.51,432,""
"PLB220AE",36.86,990,""
"PLB220GL",272.95,0,"Please send RFQ to sales@145.aero for lead time"
"PLB220QT",95.54,123,""
"PLBAAE",33.74,0,"Please send RFQ to sales@145.aero for lead time"
"PLBAGL",229.03,0,"Please send RFQ to sales@145.aero for lead time"
"PLBAQT",80.16,37,""
"PLBHTQT",141.16,11,""
"PLL5396DQT",100.61,0,"Please send RFQ to sales@145.aero for lead time"
"PPS1460WQT",64.92,2,""
"PPSGQT",103.15,8,""
"PPSRMACGL",333.82,1,""
"PR1005LPT",183.28,123,""
"PR1197PT",984.27,0,"Please send RFQ to sales@145.aero for lead time"
"PR12001090ZCL",59.05,286,""
"PR1200-10-90ZRD",59.05,219,""
"PR1422A2-60Z",71.46,174,""
"PR1422B1-2",76.73,2996,""
"PR1422B2-60Z",76.73,931,""
"PR1422B2PT",160.56,441,""
"PR1425B1-2",141.4,1514,""
"PR1425B1-2-5",114.43,145,""
"PR1425B1-2PT",218.28,147,""
"PR1425B2-60Z",134.05,869,""
"PR1428A1-2",142.19,213,""
"PR1428A2",136.16,0,"Please send RFQ to sales@145.aero for lead time"
"PR1428B1-2",131.95,552,""
"PR1428B2",122.25,459,""
"PR1428B2PT",272.3,71,""
"PR1428B2PTKT",281.18,0,"Please send RFQ to sales@145.aero for lead time"
"PR1436GPT",313.78,58,""
"PR1440-A1-2-60Z",61.15,233,""
"PR1440A1-2PTKT",140.36,55,""
"PR1440A2-654",57.98,417,""
"PR1440A2PT",152.88,111,""
"PR1440B1-2PT",153.61,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440B2",61.45,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440B2PT",148.86,273,""
"PR1750A1-2",76.94,55,""
"PR1750A1-2PT",180.5,24,""
"PR1750A2",72.95,174,""
"PR1750A2PT",182.34,19,""
"PR1750B1-2-60Z",80.19,145,""
"PR1750B1-2PT",190.38,38,""
"PR1750B2-60Z",80.19,300,""
"PR1750B2PTKT",196.57,26,""
"PR1764B2",1288.04,26,""
"PR1764B2-2-50Z",756.49,0,"Please send RFQ to sales@145.aero for lead time"
"PR1772B2-60Z",138.72,0,"Please send RFQ to sales@145.aero for lead time"
"PR1773B1-2",127.49,708,""
"PR1773B1-2PT",228.28,2,""
"PR1775B2-1QT",486.44,12,""
"PR1775B2-60Z",108.49,723,""
"PR1776M1-2-60Z",109.59,0,"Please send RFQ to sales@145.aero for lead time"
"PR1776M1-2BMPT",249.49,43,""
"PR1776M2-60Z",103.89,752,""
"PR1776MB2-60Z",103.89,2268,""
"PR1776MB2BPT",238.92,53,""
"PR1776MB2PT",238.92,0,"Please send RFQ to sales@145.aero for lead time"
"PR1826A1-2",259.75,141,""
"PR1826B1-2",202.41,997,""
"PR1826B1-4",202.41,791,""
"PR1828B1-2",235.09,351,""
"PR1828B1-4",247.97,22,""
"PR1829B1-2",174.34,227,""
"PR1829B1-4",182.03,98,""
"PR1829B2",174.34,160,""
"PR2001B1-2",211.65,904,""
"PR2001B2-4-50Z",200.65,623,""
"PS700",379.77,68,""
"PS700-60Z",180.88,421,""
"PS860B1-6",146.5,0,"Please send RFQ to sales@145.aero for lead time"
"PS870A1-2",96.68,714,""
"PS870A1-2PTKT",222.34,98,""
"PS870B1-2",93.31,2681,""
"PS870B1-2-20Z",74.66,42,""
"PS870B1-2-60Z",88.46,0,"Please send RFQ to sales@145.aero for lead time"
"PS870B1-2PTM",197.06,20,""
"PS870B1-2QT",379.19,211,""
"PS870B2-60Z",88.46,3735,""
"PS870B2-60ZTP2",88.46,0,"Please send RFQ to sales@145.aero for lead time"
"PS870B2PTM",203.47,0,"Please send RFQ to sales@145.aero for lead time"
"PS870C12",132.27,645,""
"PS870C12PT",288.45,88,""
"PS870C24",120.69,558,""
"PS890A2-60Z",63.67,886,""
"PS890B1-2",66.61,1218,""
"PS890B1-2PT",166.5,474,""
"PS890B2-60Z",66.61,1132,""
"PS890B2PT",166.5,559,""
"PYR0LUBE",167.88,0,"Please send RFQ to sales@145.aero for lead time"
"RHE0LUB733MZ30C",38.86,71,""
"RHE0LUBE733MZ",265,0,"Please send RFQ to sales@145.aero for lead time"
"RTV109-10-1ALU",18.36,311,""
"RTV133-10-10Z",127.42,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3140-30Z",46.05,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-10-30ZC",154.11,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-10-30ZG",154.11,0,"Please send RFQ to sales@145.aero for lead time"
"RTV3145-30Z",57.76,512,""
"RTV3145-30ZGRAY",57.76,0,"Please send RFQ to sales@145.aero for lead time"
"RTV630-1LB",139.86,0,"Please send RFQ to sales@145.aero for lead time"
"RTV730FS30Z",176.8,188,""
"RTV732-10-10ZBL",10.63,544,""
"RTV732-10-10ZCL",10.63,1534,""
"RTV732-10-10ZWH",10.63,217,""
"RTV732-30Z",6.13,3061,""
"RTV732-30ZALU",6.46,602,""
"RTV732-30ZBLK",6.46,518,""
"RTV732-30ZWHI",6.13,2014,""
"RTV732-50ZCLR",9.85,395,""
"RTV732-50ZWHI",9.85,481,""
"RTV736-10-10ZRD",26.07,677,""
"RTV736-30ZRED",15.84,1686,""
"RTV9910",161.84,9,""
"S01324-160Z",9.64,0,"Please send RFQ to sales@145.aero for lead time"
"S500CF275T",7429.56,0,"Please send RFQ to sales@145.aero for lead time"
"S500CF330T",8915.46,0,"Please send RFQ to sales@145.aero for lead time"
"S500CFD",1485.91,0,"Please send RFQ to sales@145.aero for lead time"
"S500CFS",42.2,0,"Please send RFQ to sales@145.aero for lead time"
"PR1440B1-2",61.45,1496,""
"PR1440B2QT",262.6,19,""
"PS870B1-2-PT",203.47,1018,""
"SATAP275T",11202.97,0,"Please send RFQ to sales@145.aero for lead time"
"SATAP80Z",242.78,0,"Please send RFQ to sales@145.aero for lead time"
"SILIKR0IL100Z",22.56,72,""
"SILVERG00P",195.86,328,""
"SPIRAX75W80",375.26,0,"Please send RFQ to sales@145.aero for lead time"
"SPIRAXS75W90",24.89,0,"Please send RFQ to sales@145.aero for lead time"
"T8EH80Z",409.94,106,""
"T8EPASTE",231.39,42,""
"TECTYL502CQT",56.83,0,"Please send RFQ to sales@145.aero for lead time"
"TELLUS22-5GL",212.14,0,"Please send RFQ to sales@145.aero for lead time"
"TI0L0NA20",66.24,121,""
"TI0LUBE20-20QT",162.96,0,"Please send RFQ to sales@145.aero for lead time"
"TI0LUBE70",63.31,73,""
"TI0LUBE70R",86.91,0,"Please send RFQ to sales@145.aero for lead time"
"TN3516-24",37.55,475,""
"TRIB0LUBE15",591.25,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE15-5GM",95.13,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE2N",487.09,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE36RPC",145.79,252,""
"TRIB0LUBE64RPA",1089.55,10,""
"TRIB0LUBE64RPC",200.31,540,""
"TRIB0LUBE64RPC140Z",992.02,0,"Please send RFQ to sales@145.aero for lead time"
"TRIB0LUBE64RPC2-2LB",2426.05,11,""
"TURB0NYC0IL160",42.73,77,""
"U08466GL",539.05,0,"Please send RFQ to sales@145.aero for lead time"
"V66VB11",156.95,0,"Please send RFQ to sales@145.aero for lead time"
"VACTRA2-5GL",247.89,60,""
"VACTRA4-55GL",1473.31,0,"Please send RFQ to sales@145.aero for lead time"
