possibleOriginalPartnumber;productcode;productname;productprice;addtocartbtn_replacement_text;productdescriptionshort;stockstatus;productweight;category;subCategory;url
47109, 47109, 47109;47109;47109;1308.770;;Rolls-Royce® S/O Shroud 4710;11;0.5;Aircraft Parts, Misc;"ENGINES, Delavan® 47109 Air Shroud, SHROUD: S/O";https://shop.boeing.com/aviation-supply/p/47109=64
59402, 59402, 59402, 59402;59402;59402;1890.000;;CS-FILTER,;0;0.75;Aircraft Parts, Aircraft & Engine Parts, Misc;", CS-FILTER,, Filtration, CASE:;";https://shop.boeing.com/aviation-supply/p/59402=T5
78935, 78935;78935;78935;44.100;;SPRING:,;6;0.5;Aircraft Parts;, SPRING;https://shop.boeing.com/aviation-supply/p/78935=T5
9-1009, 9-1009;91009;91009;0;Please send RFQ to sales@145.aero for lead time;COVER: END,;0;0.5;Aircraft Parts;, COVER, END,;https://shop.boeing.com/aviation-supply/p/9-1009=EA
139968, 139968, 139968;139968;139968;157.690;;FILTER:,;71;0.5;Aircraft Parts, Misc;"ENGINES, FILTER, FILTER:;";https://shop.boeing.com/aviation-supply/p/139968=64
154866, 154866;154866;154866;1575.110;;BODY:,;22;0.5;Aircraft Parts;, BODY;https://shop.boeing.com/aviation-supply/p/154866=T5
2-4553-5, 2-4553-5, 2-4553-5;245535;245535;48.560;;COVER:,;0;0.5;Aircraft Parts, Misc;, COVER,, COVER;https://shop.boeing.com/aviation-supply/p/2-4553-5=EA
2-459-05, 2-459-05, 2-459-05;245905;245905;7895.200;;Eldec 2-459-05 Dimmer Assembly;0;0.5;Aircraft Parts, Misc;, DIMMER,, INCANDSCENT;https://shop.boeing.com/aviation-supply/p/2-459-05=EA
2-4594-1, 2-4594-1, 2-4594-1, 245941;245941;245941;0;Please send RFQ to sales@145.aero for lead time;DIAGRAM,;0;0.5;Aircraft Parts, Misc;, DIAGRAM,, DIAGRAM,CONNECTION,LABEL, BEZEL;https://shop.boeing.com/aviation-supply/p/2-4594-1=EA
2600-21, 2600-21, 2600-21, 2600-21;260021;260021;0;Please send RFQ to sales@145.aero for lead time;FASTENER:, NO LONGER AVAILABLE;0;0.5;Aircraft Parts, STUD,1/4 TURN,SLOT,CADMIUM ST, Studs;, FASTENER, , 1/4 Turn Stud, ;https://shop.boeing.com/aviation-supply/p/2600-21=28
322797, 322797, 322797;322797;322797;0;Please send RFQ to sales@145.aero for lead time;TERMINAL LUG, NO LONGER AVAILABLE;0;0;Aircraft Parts, TERMINAL;, TERMINAL LUG,, TERMINAL;https://shop.boeing.com/aviation-supply/p/322797=28
37-511-1, 37-511-1;375111;375111;0;Please send RFQ to sales@145.aero for lead time;SERVOVLV,;0;0.5;Aircraft Parts;, SERVOVLV,;https://shop.boeing.com/aviation-supply/p/37-511-1=EA
400107, 400107, 400107;400107;400107;0;Please send RFQ to sales@145.aero for lead time;ELEMENT:,;0;0.5;Aircraft Parts, Misc;, BOLT, BOLT STEEL HEX HEAD PLATED;https://shop.boeing.com/aviation-supply/p/400107=K3
42-935-2, 42-935-2;429352;429352;25000.000;;BOX: CONTROL,;3;0.5;Aircraft Parts;, CONTROL UNIT;https://shop.boeing.com/aviation-supply/p/42-935-2=ZH
5-210-06, 5-210-06, 521006;521006;521006;0;Please send RFQ to sales@145.aero for lead time;TRANSFORMER: ASSEMBLY,;0;0.5;Aircraft Parts, Misc;, TRANSFORMER, TRANSFORMER;https://www.airpartsco.com/airparts_homepage/lara_page.php?lara&result=521&op=part&po=null&page=1
5-491-01, 5-491-01;549101;549101;0;Please send RFQ to sales@145.aero for lead time;INDUCTOR:,;0;0.5;Aircraft Parts;, INDUCTOR,;https://shop.boeing.com/aviation-supply/p/5-491-01=EA
600706, 600706;600706;600706;130.740;;SEAL:,;1;0.5;Aircraft Parts;, SEAL;https://shop.boeing.com/aviation-supply/p/600706=EA
8-018-01, 8-018-01;801801;801801;0;Please send RFQ to sales@145.aero for lead time;SENSOR: PROXIMITY SWITCH,;0;0.5;Aircraft Parts;, SENSOR;https://shop.boeing.com/aviation-supply/p/8-018-01=EA
8-337-04, 8-337-04;833704;833704;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-337-04 Proximity Switch Sensor;0;0.5;Aircraft Parts;, SENSOR, SEE MFG CODE 5L;https://shop.boeing.com/aviation-supply/p/8-337-04=EA
8-340-03, 8-340-03;834003;834003;0;Please send RFQ to sales@145.aero for lead time;SENSOR: PROXIMITY,;0;0.5;Aircraft Parts;, ELDEC SENSORS,;https://shop.boeing.com/aviation-supply/p/8-340-03=EA
8-348-02, 8-348-02;834802;834802;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-348-02 Proximity Switch Sensor;0;0.5;Aircraft Parts, PROXIMITY SENSOR;, SENSOR, PROXIMITY SENSOR;https://shop.boeing.com/aviation-supply/p/8-348-02=EA
8-527-03, 8-527-03, 8-527-03;852703;852703;0;Please send RFQ to sales@145.aero for lead time;Eldec Corporation® Proximity Sensor 8-527-0;0;0.5;Aircraft Parts, Misc;, SENSOR,, SENSOR;https://shop.boeing.com/aviation-supply/p/8-527-03=XS
8-556-02, 8-556-02;855602;855602;0;Please send RFQ to sales@145.aero for lead time;SENSOR: PROXIMITY SWITCH,;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-556-02=EA
8-583-09, 8-583-09;858309;858309;0;Please send RFQ to sales@145.aero for lead time;MODULE:,;0;0.5;Aircraft Parts;, MODULE,, ;https://shop.boeing.com/aviation-supply/p/8-583-09=EA
8-621-02, 8-621-02;862102;862102;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-621-02 Proximity Sensor;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-621-02=EA
8-627-01, 8-627-01;862701;862701;0;Please send RFQ to sales@145.aero for lead time;SENSOR,;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-627-01=EA
8-637-02, 8-637-02;863702;863702;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-637-02 Proximity Sensor;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-637-02=EA
8-716-01, 8-716-01, 8-716-01;871601;871601;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-716-01 Proximity Switch Sensor;0;0.5;Aircraft Parts;, SWITCH,PROXIMITY,, ;https://shop.boeing.com/aviation-supply/p/8-716-01=EA
8-731-01, 8-731-01;873101;873101;4125.000;;Eldec 8-731-01 Flange Mount Sensor, For Fixed Wing Aircraft;8;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-731-01=ZF
8-732-02, 8-732-02;873202;873202;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-732-02 Thread Mount Sensor, For Fixed Wing Aircraft;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-732-02=EA
8-788-02, 8-788-02;878802;878802;0;Please send RFQ to sales@145.aero for lead time;SENSOR,;0;0.5;Aircraft Parts;SENSOR, ;https://shop.boeing.com/aviation-supply/p/8-788-02=ZE1
8-840-01, 8-840-01;884001;884001;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-840-01 Sensor, For Fixed Wing Aircraft;0;0.5;Aircraft Parts;, SENSOR;https://shop.boeing.com/aviation-supply/p/8-840-01=ZE1
890488, 890488, 890488, 890488;890488;890488;3.920;;WASHER:,;78;0.5;Aircraft Parts, Washers, Misc;, Washer, WASHER, WASHER, ;https://www.boeingdistribution.com/product/WASHER/890488/890488
8-920-01, 8-920-01;892001;892001;0;Please send RFQ to sales@145.aero for lead time;SENSOR:,;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-920-01=EA
8-922-01, 8-922-01;892201;892201;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-922-01 Proximity Switch Sensor;0;0.5;Aircraft Parts;, SENSOR,;https://shop.boeing.com/aviation-supply/p/8-922-01=EA
8-925-05, 8-925-05, 892505;892505;892505;0;Please send RFQ to sales@145.aero for lead time;Eldec 8-925-05 Proximity Sensor, For B717-200 Aeroplane;0;0.5;Aircraft Parts, Misc;, TARGET, CONSTANT DEPRESSION CARB. ASSY;https://shop.boeing.com/aviation-supply/p/8-925-05=EA
8-933-01, 8-933-01, 8-933-01;893301;893301;0;Please send RFQ to sales@145.aero for lead time;SENSOR, NO LONGER AVAILABLE;0;0;Aircraft Parts, Misc, PROXIMITY SENSOR;, SENSOR,, SENSOR-PROXIMITY, PROXIMITY SENSOR;https://shop.boeing.com/aviation-supply/p/8-933-01=EA
8-935-01, 8-935-01, 8-935-01;893501;893501;0;Please send RFQ to sales@145.aero for lead time;Eldec Corporation® Proximity Sensor 8-935-0;0;0.5;Aircraft Parts;, SENSOR, SEE MFG CODE 5L, ;https://www.boeingdistribution.com/product/SENSOR/8-935-01/8-935-01
90-002-2, 90-002-2, 90-002-2, 90-002-2;900022;900022;0;Please send RFQ to sales@145.aero for lead time;CONNECTOR ACCESSORY-BAND STRAP;0;0.5;CONNECTOR ACCESSORY, Aircraft Parts, Misc;CONNECTOR ACCESSORY, , NUTPLATE, BEARING- COMM END, ;https://shop.boeing.com/aviation-supply/p/90-002-2=28
37-20311, 37-20311;3720311;3720311;0;Please send RFQ to sales@145.aero for lead time;RING:,;0;0.5;Aircraft Parts, Seals (Other);, BACKUP RING, RING,;https://shop.boeing.com/aviation-supply/p/37-20311=EA
37-51121, 37-51121;3751121;3751121;59.880;;GASKET:,;0;0.5;Aircraft Parts, Seals (Other);, GASKET, GASKET,;https://shop.boeing.com/aviation-supply/p/37-51121=EA
400220-2, 400220-2, 400220-2, 400220-2;4002202;4002202;0;Please send RFQ to sales@145.aero for lead time;VALVE: SELECTOR, NO LONGER AVAILABLE;0;0.5;Aircraft Parts, SELECTOR VALVE, Misc;, SELECTOR VALVE, VALVE, SELECTOR VA;https://shop.boeing.com/aviation-supply/p/400220-2=EA
40-62559, 40-62559;4062559;4062559;0;Please send RFQ to sales@145.aero for lead time;DRV CPL,;0;0.5;Aircraft Parts;, DRV CPL,;https://shop.boeing.com/aviation-supply/p/40-62559=EA
40-81720, 40-81720;4081720;4081720;0;Please send RFQ to sales@145.aero for lead time;ROTOR:,;0;0.5;Aircraft Parts;, ROTOR;https://shop.boeing.com/aviation-supply/p/40-81720=EA
40-81723, 40-81723;4081723;4081723;968.000;;ADAPTER:,;0;0.5;Aircraft Parts;, ADAPTOR,;https://shop.boeing.com/aviation-supply/p/40-81723=M1
40-81736, 40-81736;4081736;4081736;0;Please send RFQ to sales@145.aero for lead time;RIVET,;0;0.5;Aircraft Parts;, RIVET,;https://shop.boeing.com/aviation-supply/p/40-81736=EA
60-01317, 60-01317, 60-01317;60-01317;60-01317;136.940;;PLATE:,;0;0.5;Aircraft Parts, Misc;, PLATE,, PLATE, THRUST;https://shop.boeing.com/aviation-supply/p/60-01317=EA
60-05118, 60-05118;60-05118;60-05118;0;Please send RFQ to sales@145.aero for lead time;WASHER:,;0;0.5;Aircraft Parts;, WASHER;https://shop.boeing.com/aviation-supply/p/60-05118=EA
60-0656-1, 60-0656-1;60-06561;60-06561;0;Please send RFQ to sales@145.aero for lead time;WASHER:,;0;0.5;Aircraft Parts;, WASHER,;https://shop.boeing.com/aviation-supply/p/60-0656-1=N2
60-12523, 60-12523;60-12523;60-12523;0;Please send RFQ to sales@145.aero for lead time;HOLDER:,;0;0.005;Aircraft Parts;, HOLDER;https://shop.boeing.com/aviation-supply/p/60-12523=EA
60-70329, 60-70329;60-70329;60-70329;0;Please send RFQ to sales@145.aero for lead time;COUPLING:,;0;0.5;Aircraft Parts;, COUPLING,;https://shop.boeing.com/aviation-supply/p/60-70329=EA
60-70382, 60-70382;60-70382;60-70382;0;Please send RFQ to sales@145.aero for lead time;RETAINER:,;0;0.5;Aircraft Parts;, RETAINER,;https://shop.boeing.com/aviation-supply/p/60-70382=EA
60-72112, 60-72112;60-72112;60-72112;0;Please send RFQ to sales@145.aero for lead time;TUBE,;0;0.5;Aircraft Parts;, TUBE,;https://shop.boeing.com/aviation-supply/p/60-72112=EA
60-72114, 60-72114;60-72114;60-72114;0;Please send RFQ to sales@145.aero for lead time;ADAPTER: INLET,;0;0.5;Aircraft Parts;, ADAPTER INLET,;https://shop.boeing.com/aviation-supply/p/60-72114=EA
60-72118, 60-72118;60-72118;60-72118;0;Please send RFQ to sales@145.aero for lead time;IMPELLER,;0;0.5;Aircraft Parts;, IMPELLER,;https://shop.boeing.com/aviation-supply/p/60-72118=M1
60-72119, 60-72119;60-72119;60-72119;0;Please send RFQ to sales@145.aero for lead time;Hydro-Aire 60-72119 Bearing, For Fuel Pumps;0;0.5;Aircraft Parts;, BEARING,;https://shop.boeing.com/aviation-supply/p/60-72119=EA
60-75516, 60-75516;60-75516;60-75516;0;Please send RFQ to sales@145.aero for lead time;ADAPTER:,;0;0.5;Aircraft Parts;, ADAPTER;https://shop.boeing.com/aviation-supply/p/60-75516=EA
60-75521, 60-75521;60-75521;60-75521;0;Please send RFQ to sales@145.aero for lead time;SWITCH:,;0;0.5;Aircraft Parts;, SWITCH;https://shop.boeing.com/aviation-supply/p/60-75521=EA
60-75522, 60-75522;60-75522;60-75522;0;Please send RFQ to sales@145.aero for lead time;Hydro-Aire 60-75522 Plate;0;0.5;Aircraft Parts;, PLATE,;https://shop.boeing.com/aviation-supply/p/60-75522=EA
60-75536, 60-75536;60-75536;60-75536;0;Please send RFQ to sales@145.aero for lead time;LINER,;0;0.5;Aircraft Parts;, LINER,;https://shop.boeing.com/aviation-supply/p/60-75536=EA
60-75549, 60-75549;60-75549;60-75549;0;Please send RFQ to sales@145.aero for lead time;Hydro-Aire 60-75549 Ground Wire Assembly;0;0.5;Aircraft Parts;, GRD WIRE AY,;https://shop.boeing.com/aviation-supply/p/60-75549=EA
60-75550, 60-75550;60-75550;60-75550;0;Please send RFQ to sales@145.aero for lead time;ORING,;0;0.5;Aircraft Parts;, ORING,;https://shop.boeing.com/aviation-supply/p/60-75550=EA
60-75556, 60-75556;60-75556;60-75556;312.500;;TUBE:,;0;0.5;Aircraft Parts;, TUBE,;https://shop.boeing.com/aviation-supply/p/60-75556=EA
60-75557, 60-75557, 60-75557;60-75557;60-75557;947.000;;PLATE:,;0;0.5;Aircraft Parts, Misc;, PLATE,, PLATE, DISCHG;https://shop.boeing.com/aviation-supply/p/60-75557=M1
60-75560, 60-75560;60-75560;60-75560;0;Please send RFQ to sales@145.aero for lead time;PLATE:,;0;0.5;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/60-75560=EA
60-75569, 60-75569;60-75569;60-75569;0;Please send RFQ to sales@145.aero for lead time;IMPELLER:,;0;0.5;Aircraft Parts;, IMPELLER;https://shop.boeing.com/aviation-supply/p/60-75569=EA
60-84330, 60-84330;60-84330;60-84330;0;Please send RFQ to sales@145.aero for lead time;SEAL,;0;0.5;Aircraft Parts;, SEAL,;https://shop.boeing.com/aviation-supply/p/60-84330=EA
60-84351, 60-84351;60-84351;60-84351;0;Please send RFQ to sales@145.aero for lead time;CONNECTOR:,;0;0.5;Aircraft Parts;, CONNECTOR;https://shop.boeing.com/aviation-supply/p/60-84351=EA
60-98917, 60-98917;60-98917;60-98917;0;Please send RFQ to sales@145.aero for lead time;IMPELLER,;0;0.5;Aircraft Parts;, IMPELLER,;https://shop.boeing.com/aviation-supply/p/60-98917=EA
60-98920, 60-98920;60-98920;60-98920;0;Please send RFQ to sales@145.aero for lead time;Hydro-Aire 60-98920 Plate;0;0.5;Aircraft Parts;, PLATE;https://shop.boeing.com/aviation-supply/p/60-98920=EA
60-98926, 60-98926;60-98926;60-98926;0;Please send RFQ to sales@145.aero for lead time;PLATE,;0;0.5;Aircraft Parts;, PLATE,;https://shop.boeing.com/aviation-supply/p/60-98926=EA
60-98932, 60-98932;60-98932;60-98932;0;Please send RFQ to sales@145.aero for lead time;PLATE:,;0;0.5;Aircraft Parts;, PLATE,;https://shop.boeing.com/aviation-supply/p/60-98932=EA
60-98933, 60-98933;60-98933;60-98933;1362.000;;GIMBAL,;0;0.5;Aircraft Parts;, PLATE,;https://shop.boeing.com/aviation-supply/p/60-98933=M1
60-98945, 60-98945;60-98945;60-98945;0;Please send RFQ to sales@145.aero for lead time;ADAPTER:,;0;0.5;Aircraft Parts;, ADAPTER;https://shop.boeing.com/aviation-supply/p/60-98945=EA
60-98960, 60-98960;60-98960;60-98960;0;Please send RFQ to sales@145.aero for lead time;IMPELER,;0;0.5;Aircraft Parts;, IMPELER,;https://shop.boeing.com/aviation-supply/p/60-98960=EA
60-98965, 60-98965;60-98965;60-98965;0;Please send RFQ to sales@145.aero for lead time;ADAPTER:,;0;0.5;Aircraft Parts;, ADAPTER;https://shop.boeing.com/aviation-supply/p/60-98965=EA
60-98970, 60-98970;60-98970;60-98970;0;Please send RFQ to sales@145.aero for lead time;INDUCER,;0;0.5;Aircraft Parts;, INDUCER,;https://shop.boeing.com/aviation-supply/p/60-98970=EA
6702858, 6702858;6702858;6702858;1862.900;;CAGE: BEARING, HOUSING;13;0.5;Aircraft Parts;, CAGE;https://shop.boeing.com/aviation-supply/p/6702858=T5
6702882, 6702882;6702882;6702882;156.380;;LOCK: COMPR WHEEL TIE BOLT NUT,;7;0.5;Aircraft Parts;, LOCK;https://shop.boeing.com/aviation-supply/p/6702882=T5
6705924, 6705924;6705924;6705924;50.580;;PLUG: EXPANSION,ST,;81;0.5;Aircraft Parts;, PLUG;https://shop.boeing.com/aviation-supply/p/6705924=T5
6706277, 6706277, 6706277;6706277;6706277;35.920;;WASHER - ADAPTER BRACKET,;13;0.5;Aircraft Parts, WASHER;, WASHER - ADAPTER BRACKET,, WASHER;https://shop.boeing.com/aviation-supply/p/6706277=T5
6707250, 6707250;6707250;6707250;0.350;;RING - .312 EXT RET,;39;0.5;Aircraft Parts;, RING - .312 EXT RET,;https://shop.boeing.com/aviation-supply/p/6707250=T5
6708521, 6708521;6708521;6708521;50.580;;SPRING - RED. GR OIL PRE,;136;0.5;Aircraft Parts;, SPRING - RED. GR OIL PRE,;https://shop.boeing.com/aviation-supply/p/6708521=T5
6709719, 6709719;6709719;6709719;197.140;;COVER: MOUTING PAD,;21;0.5;Aircraft Parts;, COVER;https://shop.boeing.com/aviation-supply/p/6709719=T5
6709769, 6709769, 6709769;6709769;6709769;252.000;;NUT: RND HD,PLAIN,ST,;0;0.5;Aircraft Parts, NUT;, NUT, NUT;https://shop.boeing.com/aviation-supply/p/6709769=T5
6709944, 6709944;6709944;6709944;78.040;;NUT - T/C MTG .750-16,;20;0.5;Aircraft Parts;, NUT - T/C MTG .750-16,;https://shop.boeing.com/aviation-supply/p/6709944=T5
6709972, 6709972, 6709972;6709972;6709972;141.750;;BOLT: CLEVIS,;134;0.5;Aircraft Parts, BOLT;, BOLT, BOLT;https://shop.boeing.com/aviation-supply/p/6709972=T5
6710715, 6710715;6710715;6710715;81.080;;NUT: HEX HD,PLAIN,ST, .250-28X.156 THI;81;0.5;Aircraft Parts;, NUT;https://shop.boeing.com/aviation-supply/p/6710715=T5
6710820, 6710820;6710820;6710820;44.890;;BUSHING: SCREW NOTAPP,;136;0.5;Aircraft Parts;, BUSHING;https://shop.boeing.com/aviation-supply/p/6710820=T5
6712992, 6712992;6712992;6712992;18.150;;PIN: LOCK,;35;0.5;Aircraft Parts;, PIN;https://shop.boeing.com/aviation-supply/p/6712992=T5
6713762, 6713762;6713762;6713762;239.030;;BRACKET: STR,;45;0.5;Aircraft Parts;, BRACKET;https://shop.boeing.com/aviation-supply/p/6713762=T5
6714241, 6714241;6714241;6714241;392.700;;ELBOW - .438-20 BLKHD,;5;0.5;Aircraft Parts;, ELBOW - .438-20 BLKHD,;https://shop.boeing.com/aviation-supply/p/6714241=T5
6714768, 6714768, 6714768;6714768;6714768;14.860;;PIN: LKG,;935;0.5;Aircraft Parts, Hardware;, , PIN;https://shop.boeing.com/aviation-supply/p/6714768=T5
6714802, 6714802;6714802;6714802;31.440;;VANE: COMPR,STG 2,;0;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714802=T5
6714803, 6714803;6714803;6714803;29.350;;VANE: COMPR,STG 3,;1;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714803=T5
6714804, 6714804;6714804;6714804;29.220;;VANE: COMPR,STG 4,;744;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714804=T5
6714805, 6714805;6714805;6714805;26.320;;VANE: COMPR,STG 5,;1082;0.5;Aircraft Parts;ENGINES, VANE;https://shop.boeing.com/aviation-supply/p/6714805=T5
6714806, 6714806;6714806;6714806;20.330;;VANE: COMPR,STG 6,;0;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714806=T5
6714807, 6714807;6714807;6714807;14.420;;VANE: COMPR,STG 7,;4;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714807=T5
6714808, 6714808;6714808;6714808;20.460;;VANE: COMPR,STG 8,;1026;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714808=T5
6714809, 6714809;6714809;6714809;18.000;;VANE: COMPR,STG 9,;0;0.5;Aircraft Parts;, VANE;https://shop.boeing.com/aviation-supply/p/6714809=T5
